name,age,occupation,address
Marcella,37,Pharmacist,CefalÃ¹
Gemma,35,Warehouse manager,Salerno
Marissa,42,Therapist sports,Torre del Greco
Rosa,61,Restaurant manager,Faenza
Giulia,42,Meteorologist,Castel Gandolfo
Ennio,62,Financial controller,Loreto
Loredana,26,Environmental manager,Rivoli
Guglielmo,48,Network engineer,Pavia
Nina,45,Microbiologist,Feltre
Flavio,44,Designer graphic,Torcello
Rosalia,59,Financial controller,Adria
Bernardo,53,Television camera operator,Liguria
Susanna,57,Psychologist clinical,Pietrasanta
Milo,28,Engineer aeronautical,Agrigento
Fabio,29,Software engineer,Rimini
Martina,54,Television production assistant,Castelfranco Veneto
Aldo,54,Furniture designer,Taranto
Federico,49,Medical sales representative,Syracuse
Amalia,31,Dispensing optician,Benevento
Leone,39,Education officer,Tuscania
Mercedes,45,Dispensing optician,Bronte
Manuel,36,Records manager,Piombino
Ivo,31,Microbiologist,Naples
Giosu,58,Barrister,Amalfi
Griselda,64,Engineer biomedical,Sesto San Giovanni
Carmelo,60,Production assistant radio,Civitanova Marche
Flavia,46,Broadcast presenter,Alba
Laura,31,Medical sales representative,Asti
Toni,29,Writer,Friuliâ€“Venezia Giulia
Enzio,64,Event organiser,Pescara
Dino,37,Warden,Saluzzo
Antonello,45,Librarian,Andria
Marcella,23,Haematologist,Isernia
Amalia,19,Television production assistant,Empoli
Franco,49,Haematologist,Adria
Silvestro,26,Designer graphic,Novi Ligure
Gioffre,48,Pharmacist,Vallombrosa
Guarino,45,Librarian,Trapani
Etta,49,Banker,Oristano
Giustino,59,Psychotherapist,Genoa
Gianluigi,22,Teacher,Conegliano
Domenico,59,Engineer aeronautical,Alba
Alessandro,62,Barrister,Arpino
Nanni,53,Scientist,Sarno
Raimondo,20,Solicitor,Potenza
Raimondo,27,Furniture designer,Varallo
Panfilo,35,Engineer aeronautical,Argenta
Baldassare,64,Minerals surveyor,Naples
Loretta,64,Furniture designer,Marche
Nanni,62,Financial controller,Fidenza
Olga,53,Television production assistant,Rome
Atenulf,23,Haematologist,Puglia
Simonetta,22,Counsellor,ForlÃ¬
Germana,29,Metallurgist,Liguria
Fabia,60,Politician's assistant,Bari
Giulio,32,Psychotherapist,Cosenza
Pierina,37,Neurosurgeon,Turin
Etta,19,Metallurgist,Bassano del Grappa
Giulietta,53,Psychologist clinical,Cuneo
Diana,60,Information officer,Liguria
Alfredo,48,Art gallery manager,San Giuliano Terme
Rolando,51,Haematologist,Moncalieri
Lorenzo,57,Psychotherapist,Frosinone
Dina,64,Psychologist,Argenta
Mirco,19,Theatre director,Bari
Sabatino,46,Passenger transport manager,Forio
Calogero,43,Graphic designer,Sardinia
Stefani,29,Associate Professor,Assisi
Amleto,62,Psychotherapist,Sessa Aurunca
Ermenegildo,44,Restaurant manager,Padua
Donato,57,Veterinary surgeon,Arezzo
Pellegrino,43,Graphic designer,Sora
Ugo,22,Therapist sports,Lodi
Marcella,55,Artist,Burano
Giulietta,54,Exhibition designer,Portogruaro
Fulvio,34,Physiological scientist,Capannori
Bernardo,54,Scientist research,Adria
Mariano,60,Chemist,Carpi
Milena,27,Veterinary surgeon,Brescia
Rolando,52,Barrister,Olbia
Giustino,50,Art gallery manager,Viareggio
Michele,58,Public house manager,Palermo
Fortunata,64,Information officer,Chiavari
Vincentio,33,Microbiologist,Anzio
Ermenegildo,46,Catering manager,Jesi
Nadia,65,Designer graphic,Bassano del Grappa
Greco,37,Politician's assistant,Ferentino
Stefano,52,Exhibition designer,Nola
Romina,30,Designer,Gravina in Puglia
Marcantonio,31,Designer,Spoleto
Annetta,44,Technical sales engineer,Fondi
Antonella,33,Neurosurgeon,Modena
Livio,24,Paediatric nurse,Novi Ligure
Fortunata,45,Engineer biomedical,Catania
Mario,41,Journalist magazine,Narni
Gioele,36,Psychologist,Cosenza
Allegra,51,Information officer,Naples
Gianmarco,58,Police officer,Avellino
Berenice,46,Meteorologist,Trapani
Martino,56,Teacher,Alatri
Adelasia,27,Television camera operator,Bassano del Grappa
Giustino,24,Television production assistant,Portici
Annunziata,28,Pharmacist,Trento
Isabella,28,Surveyor insurance,ForlÃ¬
Nina,49,Restaurant manager,Fermo
Dina,53,Fashion designer,Bassano del Grappa
Michelotto,52,Producer,Rovigo
Benedetto,28,Event organiser,Peschiera del Garda
Caterina,31,Counsellor,Bolzano
Lodovico,62,Theatre director,Feltre
Enrico,26,Microbiologist,Messina
Rosa,64,Journalist magazine,Tarquinia
Flavio,20,Event organiser,Portofino
Stella,58,Barista,Como
Martino,28,Contractor,NardÃ²
Clelia,37,Equality and diversity officer,Aquino
Leone,19,Police officer,Cesena
Pomponio,33,Haematologist,Udine
Evangelista,51,Education officer,Portofino
Pierluigi,32,Furniture designer,Grosseto
Fabrizia,44,Environmental manager,Potenza
Alfredo,65,Psychotherapist,Piazza Armerina
Diana,48,Psychologist,Alatri
Etta,27,Veterinary surgeon,Narni
Lolita,50,Warden,Tarquinia
Daria,56,Company secretary,Marche
Federico,28,Designer,Montagnana
Flavia,25,Event organiser,Voghera
Lidia,36,Engineer biomedical,Arpino
Dino,64,Metallurgist,Formia
Ezio,28,Art gallery manager,Bolzano
Ornella,61,Graphic designer,Lazio
Venancio,47,Artist,Busto Arsizio
Ettore,30,Art gallery manager,Bolzano
Calcedonio,55,Designer graphic,Abruzzi
Antonina,55,Police officer,Brindisi
Pasqual,30,Chief of Staff,Brescia
Eliana,51,Scientist research,Corato
Priscilla,41,Barista,Ravenna
Fedele,26,Management consultant,Adrano
Beppe,57,Data scientist,Torre Annunziata
Arnaldo,20,Psychologist,San Remo
Diana,56,Restaurant manager,Chioggia
Alessio,51,Multimedia specialist,Carloforte
Ornella,37,Librarian,Taranto
Cristina,57,Musician,NardÃ²
Arturo,54,Television production assistant,Verona
Fredo,61,Furniture designer,MondovÃ¬
Livia,39,Police officer,Capua
Federico,29,Scientist research,MondovÃ¬
Damiano,49,Contractor,Biella
Temistocle,37,Scientist,Varallo
Vittorio,62,Barrister,Eboli
Piermaria,51,Company secretary,Avezzano
Fedele,51,Herbalist,Messina
Martino,31,Banker,CantÃ¹
Fabio,38,Warden,Fano
Calogero,40,Associate Professor,Fidenza
Riccardo,61,Restaurant manager,Pietrasanta
Eugenia,24,Food technologist,Pavia
Martina,45,Food technologist,Taormina
Rosario,32,Scientist marine,Vicenza
Annalisa,36,Meteorologist,Verbania
Ronaldo,29,Programmer multimedia,Capannori
Ugo,21,Engineer biomedical,Legnano
Alderano,49,Company secretary,ForlÃ¬
Cristina,34,Doctor,Empoli
Serafina,52,Equality and diversity officer,Civitanova Marche
Gastone,29,Counsellor,Bressanone
Mauro,23,Psychologist clinical,Fermo
Alberico,39,Solicitor,Alatri
Arnaldo,64,Designer graphic,Carloforte
Donatella,57,Minerals surveyor,Todi
Amalia,34,Financial controller,Melfi
Fausto,34,Science writer,Comiso
Cipriano,20,Multimedia specialist,Ancona
Letizia,26,Production assistant radio,Fossano
Ciro,56,Passenger transport manager,Cava de Tirreni
Rosina,59,Network engineer,Matera
Alessio,38,Designer graphic,Gravina in Puglia
Greca,31,Television production assistant,Noto
Danilo,52,Restaurant manager,Monza
Benito,49,Restaurant manager,Subiaco
Nedda,39,Science writer,Fossano
Alessandro,33,Physiological scientist,Subiaco
Valerio,20,Textile designer,Mola di Bari
Adelasia,60,Engineer technical sales,Prato
Alessio,32,Company secretary,Aquila
Lolita,62,Warehouse manager,Ortona
Pasqual,61,Physiological scientist,Foggia
Mercedes,65,Multimedia specialist,Casale Monferrato
Rosina,43,Production assistant radio,Umbria
Rosina,38,Trainer,Acireale
Bettina,51,Trainer,Termini Imerese
Sylvia,62,Tour manager,Cremona
Stefano,56,Public house manager,Burano
Amleto,28,Lecturer,Manfredonia
Bettina,41,Television production assistant,Merano
Rolando,30,Metallurgist,Ivrea
Corrado,40,Scientist marine,Gubbio
Paola,56,Designer,Messina
Alderano,49,Lecturer,Bolsena
Martino,61,Theatre director,Aosta
Marcello,28,Barista,Genoa
Gino,36,Restaurant manager,Rapallo
Letizia,29,Associate Professor,PaternÃ²
Piero,41,Physiological scientist,Modica
Nedda,25,Paediatric nurse,Vibo Valentia
Luciano,45,Artist,Subiaco
Calcedonio,32,Network engineer,Manfredonia
Fortunata,54,Art gallery manager,Milazzo
Gloria,65,Textile designer,Atri
Barbara,42,Graphic designer,Calabria
Michele,61,Engineer technical sales,Taormina
Benedetto,26,Environmental manager,Pietrasanta
Ottavio,32,Police officer,Andria
Marina,62,Engineer aeronautical,Campobasso
Uberto,28,Technical sales engineer,Erice
Alfio,23,Writer,Jesi
Ronaldo,54,Psychotherapist,Vicenza
Carlo,42,Surveyor insurance,Monfalcone
Ramona,32,Scientist research,Capua
Maura,43,Librarian,Savona
Giulietta,47,Neurosurgeon,Piombino
Lolita,42,Warden,Basilicata
Marina,37,Herbalist,Alessandria
Gloria,45,Merchant navy officer,Saluzzo
Pasqual,39,Pharmacist,Valle dâ€™Aosta
Federica,47,Management consultant,Imola
Gioffre,54,Passenger transport manager,Piacenza
Ramona,21,Physiological scientist,Vibo Valentia
Annibale,19,Programmer multimedia,Gubbio
Calogero,19,Theatre director,Udine
Maria,65,Scientist marine,Campania
Rosalia,28,Fashion designer,Gioia del Colle
Valerio,53,Graphic designer,San Giuliano Terme
Ilaria,60,Warden,Varese
Massimiliano,46,Restaurant manager,Foligno
Griselda,21,Banker,Savona
Francesca,38,Merchant navy officer,Bergamo
Arnaldo,20,Dispensing optician,Aquila
Griselda,28,Software engineer,Turin
Armando,46,Data scientist,Arezzo
Germana,24,Banker,Catanzaro
Melina,40,Therapist sports,Rimini
Valeria,35,Lecturer,Ferrara
Ugo,49,Restaurant manager,Molise
Liana,23,Barista,Vallombrosa
Raffaele,48,Solicitor,Fondi
Costanzo,22,Barrister,Spoleto
Nicoletta,65,Engineer technical sales,Benevento
Amadeo,43,Company secretary,Novi Ligure
Gioele,43,Associate Professor,NardÃ²
Raffaele,38,Fashion designer,Altamura
Maria,19,Exhibition designer,Melfi
Piero,21,Programmer multimedia,Cuneo
Sandra,57,Designer,Mazara del Vallo
Carmelo,25,Veterinary surgeon,Veneto
Clelia,59,Paediatric nurse,San Giovanni Rotondo
Gianmarco,40,Exhibition designer,MondovÃ¬
Loretta,35,Dentist,Vallombrosa
Lucio,64,Data scientist,Todi
Pomponio,63,Artist,Melfi
Sante,50,Merchant navy officer,Tarquinia
Virginia,61,Tour manager,Palazzolo Acreide
Agnolo,25,Pharmacist,Piacenza
Lazzaro,53,Writer,Caltanissetta
Napoleone,44,Graphic designer,Feltre
Letizia,34,Records manager,Senigallia
Achille,19,Pharmacist,Magenta
Pasqual,64,Art gallery manager,Desio
Beatrice,22,CEO,Centuripe
Ermenegildo,29,Passenger transport manager,Emilia-Romagna
Manuel,54,Writer,Gela
Veronica,63,Television production assistant,Gubbio
Tiziana,33,Engineer aeronautical,Sardinia
Angelina,26,Producer,Isernia
Annalisa,55,Librarian,Pistoia
Ramona,51,Public house manager,Belluno
Saverio,64,Counsellor,Augusta
Ninetta,64,Warehouse manager,Modena
Piero,26,Counsellor,Civita Castellana
Raimondo,36,Journalist magazine,Pietrasanta
Adele,47,Trainer,Brescia
Luca,30,Environmental manager,Campobasso
Simone,26,Producer,Valle dâ€™Aosta
Giuliana,54,Art therapist,Alessandria
Vincentio,25,Associate Professor,Tarquinia
Gianluca,56,Psychotherapist,Nocera Inferiore
Armando,24,Warden,Trani
Fabrizia,35,Production assistant radio,Teramo
Marina,43,Minerals surveyor,Legnano
Federico,56,Contractor,NardÃ²
Annetta,25,Barista,PaternÃ²
Nedda,31,Politician's assistant,Sulmona
Melania,51,Designer graphic,Avola
Roman,48,Management consultant,Monza
Gioele,65,Education officer,Taormina
Antonella,21,Pharmacist,Chieti
Luciana,48,Dentist,Lugo
Damiano,29,Production assistant radio,Rome
Simonetta,26,Lecturer,Torcello
Girolamo,55,Medical sales representative,Massa
Damiano,43,Producer television/film/video,Grottaglie
Coluccio,23,Scientist marine,Crema
Bruno,40,Herbalist,Reggio nellâ€™Emilia
Federica,24,Graphic designer,Bordighera
Eva,48,Engineer aeronautical,Todi
Fabrizio,59,Lecturer,Cesena
Pasqual,64,Minerals surveyor,Feltre
Bruno,41,Science writer,Terracina
Liana,58,Warden,Cerignola
Napoleone,27,Pharmacist,Aquino
Angelina,37,Psychologist clinical,NardÃ²
Sandra,62,Teacher,Alghero
Flavio,45,Therapist sports,Monfalcone
Francesca,64,Dispensing optician,Adrano
Laura,41,Technical sales engineer,Ceglie Messapico
Jolanda,32,Industrial buyer,Acireale
Nina,24,Company secretary,Aquino
Fiorino,21,Exhibition designer,Pomigliano dâ€™Arco
Calcedonio,57,Microbiologist,Cava de Tirreni
Lodovico,30,Librarian,Saluzzo
Arnaldo,37,Exhibition designer,Avellino
Ornella,37,Chemist,Martina Franca
Marcella,53,Minerals surveyor,Macerata
Torquato,25,Herbalist,San Remo
Giustino,41,Artist,MondovÃ¬
Pierangelo,31,Teacher,Como
Giuliana,34,Teacher secondary school,Foligno
Alessia,51,Warden,Benevento
Enzio,41,Production assistant radio,Reggio nellâ€™Emilia
Silvio,27,Education officer,Corato
Antonia,22,Warehouse manager,Foggia
Giulietta,63,Information officer,Cividale del Friuli
Piergiorgio,42,Chiropodist,Cosenza
Nico,29,Psychotherapist,Terni
Antonino,41,Warehouse manager,Aquino
Mercedes,33,Therapist sports,Novi Ligure
Giulia,53,Television production assistant,Isernia
Annetta,52,Merchant navy officer,Aosta
Marcella,45,Market researcher,Cosenza
Vincenzo,19,Warden,Modena
Nico,39,Graphic designer,Aquino
Milena,56,Television camera operator,Sondrio
Virginia,64,Engineer biomedical,Piacenza
Agnolo,26,Merchant navy officer,Busto Arsizio
Luciano,26,Therapist sports,Alghero
Valerio,60,Engineer aeronautical,Fabriano
Rossana,24,Television camera operator,Piedmont
Donato,25,Broadcast presenter,Merano
Antonino,43,Technical sales engineer,Corato
Antonino,58,Psychotherapist,Grosseto
Fabrizio,58,Engineer aeronautical,Cremona
Giosu,41,Neurosurgeon,Belgioioso
Fortunata,39,Haematologist,Adria
Danilo,56,Physiological scientist,Teramo
Giustino,45,Teacher,Liguria
Nico,27,Exhibition designer,Ascoli Piceno
Gioele,28,Designer,Stresa
Licia,39,Theatre director,Sora
Marco,60,Exhibition designer,Messina
Pierangelo,20,Police officer,Cortina dâ€™Ampezzo
Ronaldo,51,Art gallery manager,Chiavari
Gianpietro,29,Network engineer,Latina
Dina,20,Television production assistant,Varallo
Dario,52,Exhibition designer,Sondrio
Ennio,51,Politician's assistant,Marche
Bettina,57,Television production assistant,Alghero
Clelia,21,Catering manager,Padua
Ilaria,56,Art therapist,Voghera
Biagio,38,Veterinary surgeon,Novi Ligure
Imelda,44,Associate Professor,Noto
Ermes,51,Paediatric nurse,Cremona
Berenice,55,Barrister,Volterra
Mariano,38,Exhibition designer,Olbia
Barbara,37,Chiropodist,Bolzano
Pierangelo,60,Market researcher,Vicenza
Alfredo,45,Police officer,Sarno
Iolanda,30,Management consultant,Sorrento
Martino,34,Television camera operator,ForlÃ¬
Nedda,53,Engineer biomedical,Caltanissetta
Loretta,28,Company secretary,Andria
Giacomo,31,Industrial buyer,Viareggio
Paolo,64,Librarian,Gravina in Puglia
Ottone,45,Restaurant manager,Frosinone
Lodovico,41,Chief of Staff,Cento
Benedetto,44,Scientist,Cascina
Baccio,20,Musician,Lanciano
Elvira,38,Writer,Castel Gandolfo
Sandra,26,Banker,Umbria
Simone,32,Television production assistant,Cosenza
Vittoria,48,Producer television/film/video,Fossano
Elvira,32,Company secretary,Cento
Agnolo,30,Information officer,Sarno
Fabrizio,30,Software engineer,Alba
Licia,59,Solicitor,Loreto
Francesco,46,Metallurgist,Alghero
Licia,31,Art gallery manager,Monza
Marcella,35,Trainer,Todi
Temistocle,39,Haematologist,Turin
Veronica,41,Teacher,Forio
Galasso,34,Passenger transport manager,Rieti
Enzio,49,Restaurant manager,Mestre
Rossana,24,Teacher,Augusta
Vanessa,25,Designer,Moncalieri
Marcella,50,Librarian,Chiavari
Donatella,36,Scientist marine,Manfredonia
Luigina,40,Television production assistant,Pavia
Giorgia,27,Software engineer,Pinerolo
Vincenzo,24,Fashion designer,Altamura
Fedele,60,Designer graphic,Ercolano
Livia,62,Industrial buyer,Martina Franca
Sandra,54,Microbiologist,Reggio di Calabria
Alphons,37,Journalist magazine,Jesi
Rosario,21,Journalist magazine,Prato
Monica,19,Automotive engineer,Comiso
Vincenzo,19,Equality and diversity officer,Sorrento
Serafina,41,Librarian,Sessa Aurunca
Riccardo,33,Art gallery manager,Verona
Roman,64,Restaurant manager,Vercelli
Ninetta,27,Barrister,Gaeta
Jolanda,43,Doctor,Tortona
Amleto,45,Psychologist clinical,Amalfi
Monica,24,Psychologist,Arezzo
Greca,61,Technical sales engineer,Imola
Armando,28,Producer television/film/video,Lanciano
Pina,35,Producer,Montecatini Terme
Paola,43,Scientist marine,Bagheria
Marisa,37,Engineer aeronautical,Subiaco
Baldassare,46,Graphic designer,Nuoro
Nedda,23,Chief of Staff,Piombino
Rita,38,Ergonomist,Adrano
Paola,45,Meteorologist,Reggio nellâ€™Emilia
Toni,49,Warden,Taranto
Fredo,32,Multimedia specialist,Palermo
Victoria,30,Police officer,Bisceglie
Adele,46,Automotive engineer,Syracuse
Romina,65,Barrister,Cento
Gioffre,63,Herbalist,Sarzana
Baldassare,23,Exhibition designer,Corleone
Lisa,34,Tour manager,CefalÃ¹
Alessio,39,Software engineer,Anagni
Stefano,53,Data scientist,Tarquinia
Ornella,47,Warehouse manager,Asti
Barbara,28,Pharmacist,Ravenna
Luca,35,Automotive engineer,Martina Franca
Clelia,56,Company secretary,Bassano del Grappa
Eliana,63,Trainer,Termini Imerese
Marcella,40,Scientist marine,Foligno
Cipriano,31,Network engineer,Reggio nellâ€™Emilia
Beatrice,38,Information officer,Lecce
Paride,29,Veterinary surgeon,Fossano
Alessio,44,Producer,Padua
Giada,32,Designer,Civitanova Marche
Goffredo,58,Microbiologist,Fossano
Alderano,29,Automotive engineer,Caserta
Alessio,65,Metallurgist,Olbia
Fedele,57,Herbalist,Latina
Romolo,35,Automotive engineer,Ardea
Edoardo,30,Recycling officer,Venosa
Carmelo,26,Musician,Corato
Erika,34,Textile designer,Verona
Camillo,36,Chemist,Sciacca
Alfredo,26,Barrister,Subiaco
Ugo,62,Graphic designer,Cesena
Martino,65,Engineer biomedical,Verbania
Virgilio,38,Psychotherapist,Basilicata
Arsenio,21,Exhibition designer,Anagni
Atenulf,24,Technical sales engineer,Termini Imerese
Panfilo,62,Television camera operator,Modica
Milo,45,Barista,Fiesole
Livia,20,Producer television/film/video,Manfredonia
Arnaldo,52,Graphic designer,Syracuse
Salvi,35,Event organiser,Pietrasanta
Giacomo,62,Veterinary surgeon,Forio
Gaspare,60,Producer,Cortona
Donato,57,Journalist magazine,Brindisi
Letizia,60,Veterinary surgeon,Centuripe
Erika,43,Environmental manager,Cori
Ermanno,28,Market researcher,Scicli
Amleto,56,Journalist magazine,Cuneo
Elladio,47,Industrial buyer,San Remo
Marisa,45,Musician,Syracuse
Benedetto,56,Engineer technical sales,Olbia
Adelasia,38,CEO,Piombino
Maria,37,Psychologist clinical,Argenta
Arturo,55,Producer television/film/video,Pescia
Adriano,33,Technical sales engineer,Rovereto
Romina,64,Graphic designer,Torre Annunziata
Martino,57,Trainer,Chiavari
Napoleone,38,Theatre director,Caserta
Beatrice,30,Psychologist,Venice
Luigi,41,Ergonomist,Venosa
Fernanda,51,Fashion designer,Genoa
Fortunata,46,Financial controller,Ortona
Damiano,29,Furniture designer,Molfetta
Gionata,25,Engineer biomedical,Palermo
Isabella,25,Recycling officer,San Severo
Gioachino,30,Financial controller,Trapani
Giosu,36,Passenger transport manager,Rome
Giustino,28,Production assistant radio,Rimini
Roman,38,Furniture designer,Lombardy
Tonia,31,Food technologist,Lanciano
Raffaele,54,Banker,Nola
Alfio,40,Television camera operator,Lecce
Damiano,19,Surveyor insurance,Bari
Antonina,40,Merchant navy officer,Nola
Giustino,21,Teacher,Portofino
Gianluigi,23,Equality and diversity officer,Livorno
Azeglio,19,Designer,Assisi
Leone,61,Programmer multimedia,Cosenza
Fausto,65,Software engineer,Canosa di Puglia
Franco,23,Management consultant,Fondi
Ronaldo,36,Metallurgist,Valle dâ€™Aosta
Arsenio,37,Merchant navy officer,Carloforte
Vittoria,47,Television production assistant,Reggio nellâ€™Emilia
Dino,60,Education officer,Milazzo
Fabio,60,Environmental manager,Cortina dâ€™Ampezzo
Berenice,58,Restaurant manager,Foligno
Stefani,60,Producer,Ariano Irpino
Gino,44,Multimedia specialist,Anzio
Rosa,47,Education officer,Trani
Flavio,33,Lecturer,Viareggio
Vincentio,53,Paediatric nurse,Naples
Vittoria,40,Surveyor insurance,Todi
Romina,30,Solicitor,Molfetta
Agostino,19,Market researcher,Pistoia
Ramona,42,Doctor,Valle dâ€™Aosta
Fulvio,37,Art gallery manager,Alghero
Marcella,22,Dentist,Friuliâ€“Venezia Giulia
Antonia,65,Physiological scientist,Naples
Galasso,26,Producer,Piacenza
Gianna,41,Public house manager,Rovereto
Stella,44,Producer,Merano
Angelica,57,Software engineer,Rovereto
Pasqual,40,Surveyor insurance,Frosinone
Alessio,48,Paediatric nurse,Licata
Letizia,55,Librarian,Alghero
Ruggiero,47,CEO,Bobbio
Atenulf,35,Management consultant,Sessa Aurunca
Eva,48,Musician,Varese
Mariano,48,Microbiologist,Palermo
Amleto,29,Multimedia specialist,Reggio nellâ€™Emilia
Victoria,38,Artist,Termini Imerese
Susanna,26,Art gallery manager,CantÃ¹
Serafina,31,Television production assistant,Alghero
Simonetta,55,Psychologist clinical,Tarquinia
Giulio,65,Software engineer,Jesi
Angelina,33,Veterinary surgeon,Bitonto
Paola,44,Public house manager,Piazza Armerina
Manuel,46,Scientist marine,Chianciano Terme
Serafina,63,Graphic designer,Corato
Martino,57,Automotive engineer,Piazza Armerina
Osvaldo,31,Veterinary surgeon,Stresa
Mariano,33,Network engineer,Grosseto
Enrico,36,Financial controller,Noto
Fabio,46,Graphic designer,Portici
Romeo,61,Exhibition designer,Emilia-Romagna
Carlo,25,Contractor,NardÃ²
Tullio,61,Education officer,Vibo Valentia
Licia,58,Market researcher,Monte Santâ€™Angelo
Orazio,54,Engineer biomedical,Aosta
Danilo,37,Trainer,Rapallo
Vittorio,44,Records manager,Capua
Melissa,42,Information officer,Cividale del Friuli
Massimiliano,52,Scientist research,Legnano
Pasquale,62,Producer,Aquileia
Cecilia,21,Pharmacist,Desio
Tiziano,36,Merchant navy officer,Rapallo
Amleto,41,Journalist magazine,Erice
Letizia,39,Automotive engineer,Gaeta
Loretta,32,Teacher secondary school,Messina
Silvestro,34,Broadcast presenter,Bordighera
Atenulf,20,Medical sales representative,San Giovanni Rotondo
Angelo,26,Public house manager,Latina
Carla,25,Chief of Staff,Nuoro
Vincenza,25,Lecturer,Voghera
Claudio,32,Merchant navy officer,Belgioioso
Lauretta,64,Information officer,Milazzo
Liberto,32,Contractor,Emilia-Romagna
Uberto,40,Therapist sports,Palermo
Marcella,45,Ergonomist,Calabria
Lolita,44,Television production assistant,Jesi
Damiano,19,Teacher secondary school,Teramo
Angelina,63,Producer television/film/video,Argenta
Danilo,56,Artist,Molfetta
Donatella,24,Network engineer,Padua
Ornella,36,Software engineer,Cagliari
Raffaele,20,Data scientist,Venosa
Imelda,28,Associate Professor,Marche
Raffaele,40,Merchant navy officer,Merano
Romana,50,Multimedia specialist,Mestre
Paride,60,Furniture designer,San Remo
Gaetano,22,Scientist marine,Corleone
Vittoria,22,Chemist,Sarzana
Gloria,37,Restaurant manager,Messina
Giacomo,29,Banker,Sarno
Costanzo,21,Dentist,Senigallia
Beppe,37,Furniture designer,Veneto
Gioele,25,Counsellor,Cori
Arturo,42,Scientist research,Erice
Fiamma,32,Tour manager,Taormina
Rolando,41,Chemist,Busto Arsizio
Alfredo,38,Therapist sports,Adria
Fiamma,52,Exhibition designer,Sulmona
Carolina,40,Psychotherapist,CantÃ¹
Elvira,19,Management consultant,Bolsena
Rossana,57,Psychologist clinical,Perugia
Irma,33,Tour manager,Augusta
Biagio,51,Scientist,Messina
Mirco,56,Financial controller,Conegliano
Baccio,36,Paediatric nurse,Jesi
Livia,61,Market researcher,Brescia
Etta,64,Teacher,Cortina dâ€™Ampezzo
Cecilia,58,Technical sales engineer,MondovÃ¬
Calcedonio,24,Exhibition designer,Scicli
Aria,60,Microbiologist,Rivoli
Arturo,22,Teacher secondary school,ForlÃ¬
Clelia,21,Restaurant manager,Bordighera
Salvatore,26,Data scientist,Cassino
Rosa,34,Scientist marine,Formia
Giada,61,Psychologist,Vercelli
Aldo,62,Psychologist,Urbino
Vittorio,49,Exhibition designer,Vittoria
Adelmo,28,Politician's assistant,Campobasso
Salvatore,31,Information officer,Avola
Gioachino,38,Food technologist,Taormina
Ermes,32,Restaurant manager,Crotone
Gabriella,30,Market researcher,Bressanone
Rosina,32,Chief of Staff,Bisceglie
Fabrizia,31,Engineer biomedical,Novara
Gioffre,59,Scientist research,Sicily
Michele,49,Technical sales engineer,Verona
Beatrice,37,Chief of Staff,Castellammare di Stabia
Lidia,56,CEO,Bergamo
Carlo,51,Meteorologist,Porto Torres
Martino,28,Producer television/film/video,Guastalla
Marcantonio,32,Passenger transport manager,Chiavari
Pierluigi,63,Exhibition designer,Agrigento
Galasso,31,Graphic designer,San Giovanni Rotondo
Calcedonio,34,Network engineer,Guastalla
Beatrice,20,Psychotherapist,Genoa
Ignazio,44,Software engineer,Latina
Napoleone,38,Ergonomist,Caserta
Cassandra,26,Broadcast presenter,Comiso
Nico,31,Science writer,Termini Imerese
Michele,34,Restaurant manager,Este
Virginia,29,Teacher,Latina
Telemaco,58,Pharmacist,Portici
Pierluigi,31,Software engineer,San Giovanni Rotondo
Fortunata,46,Textile designer,Carpi
Napoleone,39,Musician,Alcamo
Ugo,54,Science writer,Porto Torres
Rossana,40,Writer,Arezzo
Dario,49,Teacher secondary school,Alcamo
Griselda,41,Barrister,Calabria
Alessio,27,Politician's assistant,Voghera
Anita,56,Scientist marine,Brindisi
Marissa,50,Technical sales engineer,Foligno
Marissa,19,Minerals surveyor,Aquileia
Nadia,27,Teacher secondary school,Cividale del Friuli
Simonetta,33,Ergonomist,Cento
Paride,37,Therapist sports,Bologna
Eleanora,22,Medical sales representative,Bobbio
Rosina,38,Chief of Staff,Molise
Donna,25,Scientist,Sora
Fabia,21,Writer,Carpi
Lazzaro,54,Associate Professor,Martina Franca
Gabriele,44,CEO,Capannori
Berenice,54,Solicitor,Monza
Carolina,56,Psychologist clinical,Emilia-Romagna
Baldassare,22,Food technologist,Enna
Etta,22,Journalist magazine,Monza
Nicoletta,21,Psychologist clinical,Genoa
Marisa,65,Merchant navy officer,Matera
Carolina,27,Librarian,Marche
Valentina,49,Public house manager,Marino
Giacomo,63,Teacher secondary school,Ardea
Bruno,19,Programmer multimedia,Rivoli
Angelo,26,Surveyor insurance,Desio
Ugo,32,Teacher,Ravenna
Paoletta,46,Dentist,Augusta
Franco,60,Psychologist clinical,Brindisi
Giuliana,46,Haematologist,Bagheria
Vanessa,63,Television camera operator,Fondi
Antonina,48,Scientist,Manfredonia
Elmo,54,Designer,Anzio
Diana,63,Trainer,NardÃ²
Dina,43,Pharmacist,Gubbio
Vittorio,38,CEO,Vittoria
Susanna,47,Tour manager,Busto Arsizio
Ermenegildo,24,Records manager,Friuliâ€“Venezia Giulia
Ninetta,22,Engineer biomedical,Biella
Salvatore,60,Environmental manager,Terni
Graziano,54,Veterinary surgeon,Trieste
Adriana,59,Barista,Empoli
Cipriano,48,Microbiologist,Bagheria
Flavia,49,Fashion designer,Bitonto
Irma,48,Pharmacist,Trieste
